DATE,Open,High,Low,Close,Volume
1989-01-03,277.72000099999997,277.72000099999997,273.809998,275.309998,128500000
1989-01-04,275.309998,279.75,275.309998,279.429993,149700000
1989-01-05,279.429993,281.51001,279.429993,280.01001,174040000
1989-01-06,280.01001,282.059998,280.01001,280.670013,161330000
1989-01-09,280.670013,281.890015,280.320007,280.980011,163180000
1989-01-10,280.980011,281.579987,279.440002,280.380005,140420000
1989-01-11,280.380005,282.01001,280.209991,282.01001,148950000
1989-01-12,282.01001,284.630005,282.01001,283.170013,183000000
1989-01-13,283.170013,284.119995,282.709991,283.869995,132320000
1989-01-16,283.869995,284.880005,283.630005,284.140015,117380000
1989-01-17,284.140015,284.140015,283.059998,283.549988,143930000
1989-01-18,283.549988,286.869995,282.649994,286.52999900000003,187450000
1989-01-19,286.52999900000003,287.899994,286.140015,286.910004,192030000
1989-01-20,286.899994,287.040009,285.75,286.630005,166120000
1989-01-23,287.850006,287.980011,284.5,284.5,141640000
1989-01-24,284.5,288.48999,284.5,288.48999,189620000
1989-01-25,288.48999,289.149994,287.97000099999997,289.140015,183610000
1989-01-26,289.140015,292.619995,288.130005,291.690002,212250000
1989-01-27,291.690002,296.079987,291.690002,293.820007,254870000
1989-01-30,293.820007,295.130005,293.540009,294.98999,167830000
1989-01-31,294.98999,297.51001,293.570007,297.47000099999997,194050000
1989-02-01,297.47000099999997,298.329987,296.22000099999997,297.089996,215640000
1989-02-02,297.089996,297.920013,295.809998,296.839996,183430000
1989-02-03,296.839996,297.660004,296.149994,296.97000099999997,172980000
1989-02-06,296.97000099999997,296.98999,294.959991,296.040009,150980000
1989-02-07,296.040009,300.339996,295.77999900000003,299.630005,217260000
1989-02-08,299.619995,300.570007,298.410004,298.649994,189420000
1989-02-09,298.649994,298.790009,295.160004,296.059998,224220000
1989-02-10,296.059998,296.059998,291.959991,292.019989,173560000
1989-02-13,292.019989,293.070007,290.880005,292.540009,143520000
1989-02-14,292.540009,294.369995,291.410004,291.809998,150610000
1989-02-15,291.809998,294.420013,291.48999,294.23999,154220000
1989-02-16,294.23999,295.149994,294.22000099999997,294.809998,177450000
1989-02-17,294.809998,297.119995,294.690002,296.76001,159520000
1989-02-21,296.76001,297.040009,295.160004,295.980011,141950000
1989-02-22,295.980011,295.980011,290.76001,290.910004,163140000
1989-02-23,290.910004,292.049988,289.829987,292.049988,150370000
1989-02-24,292.049988,292.049988,287.130005,287.130005,160680000
1989-02-27,287.130005,288.119995,286.26001,287.820007,139900000
1989-02-28,287.820007,289.420013,287.630005,288.859985,147430000
1989-03-01,288.859985,290.27999900000003,286.459991,287.109985,177210000
1989-03-02,287.109985,290.320007,287.109985,289.950012,161980000
1989-03-03,289.940002,291.179993,289.440002,291.179993,151790000
1989-03-06,291.200012,294.809998,291.179993,294.809998,168880000
1989-03-07,294.809998,295.160004,293.5,293.869995,172500000
1989-03-08,293.869995,295.619995,293.51001,294.079987,167620000
1989-03-09,294.079987,294.690002,293.850006,293.929993,143160000
1989-03-10,293.929993,293.929993,291.600006,292.880005,146830000
1989-03-13,292.880005,296.179993,292.880005,295.320007,140460000
1989-03-14,295.320007,296.290009,294.630005,295.140015,139970000
1989-03-15,295.140015,296.77999900000003,295.140015,296.670013,167070000
1989-03-16,296.670013,299.98999,296.660004,299.440002,196040000
1989-03-17,299.440002,299.440002,291.079987,292.690002,242900000
1989-03-20,292.690002,292.690002,288.559998,289.920013,151260000
1989-03-21,289.920013,292.380005,289.920013,291.329987,142010000
1989-03-22,291.329987,291.459991,289.899994,290.48999,146570000
1989-03-23,290.48999,291.51001,288.559998,288.980011,153750000
1989-03-27,288.980011,290.570007,288.070007,290.570007,112960000
1989-03-28,290.570007,292.320007,290.570007,291.589996,146420000
1989-03-29,291.589996,292.75,291.420013,292.350006,144240000
1989-03-30,292.350006,293.799988,291.5,292.519989,159950000
1989-03-31,292.519989,294.959991,292.519989,294.869995,170960000
1989-04-03,294.869995,297.040009,294.619995,296.390015,164660000
1989-04-04,296.399994,296.399994,294.72000099999997,295.309998,160680000
1989-04-05,295.309998,296.429993,295.27999900000003,296.23999,165880000
1989-04-06,296.22000099999997,296.23999,294.519989,295.290009,146530000
1989-04-07,295.290009,297.619995,294.350006,297.160004,156950000
1989-04-10,297.160004,297.940002,296.850006,297.109985,123990000
1989-04-11,297.109985,298.869995,297.109985,298.48999,146830000
1989-04-12,298.48999,299.809998,298.48999,298.98999,165200000
1989-04-13,298.98999,299.0,296.269989,296.399994,141590000
1989-04-14,296.399994,301.380005,296.399994,301.359985,169780000
1989-04-17,301.359985,302.01001,300.709991,301.72000099999997,128540000
1989-04-18,301.72000099999997,306.25,301.72000099999997,306.019989,208650000
1989-04-19,306.019989,307.679993,305.359985,307.149994,191510000
